Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Fix),Outward issue link (Fix),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Releases),Outward issue link (Releases),Outward issue link (Releases),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Analyst),Custom field (Developer),Custom field (Development),Custom field (Due Date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue URL),Custom field (External issue URL),Custom field (External issue URL),Custom field (Hosting Environment),Custom field (Installation Date),Custom field (List of Trainees),Custom field (Peer Reviewer),Custom field (Policy Stat URL),Custom field (Process Status),Custom field (Product),Custom field (Product Owner),Custom field (QA Analyst),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Sprint,Custom field (Start date),Custom field (Steps to Reproduce:),Custom field (Story Points),Custom field (Tech/Engineering),Custom field (Tracking Number),Custom field (YX Connect Site(s)),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Update Expired Storage Wording ,QO-71,29598,,Story,Estimation,QO,Quick Order,software,jmedlock,,,3 Standard,,jcox,jcox,jcox,29/Aug/18 3:25 PM,29/Aug/18 3:25 PM,04/Sep/18 11:00 AM,,,Quick Order Legacy,,,0,,,,,,,,"We need to update the wording on the Wellplate Storage page.  

Navigate to My Orders -> Wellplate Storage -> Wellplate Storage tab.

The paragraph under ""Wellplates With Expired Storage"" should say:

Instructions: Below is a list of wellplates from previous orders that have reached their Transnetyx storage expiration date, specified as 6 months from date of order completion. These wellplates are due to be disposed of unless you would like them returned to you. Click on the + icon to show your list of wellplates with expired storage. Please click the check box to immediately dispose of them or choose to have them returned to you. The return fees are listed above.
",,katie mcaleavey,,;29/Aug/18 3:25 PM;jcox;7200,,,,,,,,,0,7200,,,0,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,,{},,,,,,,,,,,,,,None,,,,,,Unassigned,,bwinter,0|i00zvj:,,,,,,,New Product/Feature,,YX Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add an Admin Search Feature in AAD Tool to search existing constructs,QO-57,29376,,Story,Estimation,QO,Quick Order,software,jmedlock,,,3 Standard,,jcox,ssandor,ssandor,06/Jul/18 3:18 PM,06/Jul/18 3:19 PM,27/Aug/18 11:00 AM,,,Automated Assay Design - Phase 1,,,0,,,,,,,,"Assay Designers need the ability to search the construct database since it will no longer function in OM
They need the same ability to search as in OM currently (see snapshot or view here: 
http://ordermanager.transnetyx.com/AssayDesign/Constructs.aspx

",,,,;06/Jul/18 3:19 PM;ssandor;3600,,,,,,,,,0,3600,,,0,3600,,,,,,,,,,,,,,,,,06/Jul/18 3:18 PM;ssandor;search_constructs.PNG;https://transnetyx.atlassian.net/secure/attachment/27089/search_constructs.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,,{},,,,,,,,,,,,,,None,,,,,,Unassigned,,bwinter,0|i00yk7:,,,,,,,New Product/Feature,,YX Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independence Day 2018 Holiday Schedule Banner,QO-55,29365,,Story,Production,QO,Quick Order,software,jmedlock,,,3 Standard,Done,,jcox,jcox,29/Jun/18 3:07 PM,03/Jul/18 10:14 AM,04/Sep/18 11:00 AM,02/Jul/18 10:46 AM,,Quick Order Legacy,,,0,,,,,,,,"We need to add a holiday schedule announcement banner to the QuickOrder login page just like we've done in the past for next Wednesday, July 4th.  We would like this to go live no later than end of day July 2nd and taken back down on July 5th.  The text of the banner needs to be:

*Holiday Announcement: *
Transnetyx customer service will not be available on Wednesday, July 4th, in celebration of our Independence Day. If you have any questions, please email customerservice@transnetyx.com
",,,,;02/Jul/18 10:46 AM;jadhikari;3600,,,,,,,,,0,3600,,,0,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,jadhikari,{},,,,,,,,,,,,,,None,,,jadhikari,,,Unassigned,,bwinter,0|i00yi7:,,,,,,,New Product/Feature,,YX Connect,2018-07-02 15:46:15.254,"02/Jul/18 10:46 AM;jadhikari;[~jknight], [~jcox] : The banner is updated into QuickOrder production page. Please verify.","02/Jul/18 10:47 AM;jcox;[~jadhikari], [~jknight] - Looks great- thank you!!",03/Jul/18 10:14 AM;jknight;Thank you guys for getting this live so quickly!,,,,,,,,,,,,,,,,,,,,,,,
Synchronize OM to AAD so probes get added to constructs ,QO-54,29364,,Story,Estimation,QO,Quick Order,software,jmedlock,,,3 Standard,,jcox,ssandor,ssandor,29/Jun/18 2:07 PM,07/Aug/18 10:54 AM,04/Sep/18 11:00 AM,,,Automated Assay Design - Phase 1,,,0,,,,,,,,"Via Chris Scallion: maybe add another scheduled job that syncs to OM and checks every 5 minutes.

Regardless of the technical requirements, an Assay Designer needs the ability to link an AIM in OM back to an incomplete construct that was made in the AAD Tool. Once the AIM is Design Completed (new probes custom designed and added) then these probes will be added to the incomplete construct (in the AAD Tool) and the construct be completed.",,,,;06/Jul/18 3:15 PM;ssandor;3600,,,,,,,,,0,3600,,,0,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ssandor,,{},,,,,,,,,,,,,,None,,,,,,Unassigned,,bwinter,0|i00yhz:,,,,,,,New Product/Feature,,YX Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Customer Service Contact Email Address,QO-53,29308,,Story,Ready for QA,QO,Quick Order,software,jmedlock,,,3 Standard,Coding Done,,jcox,jcox,11/Jun/18 1:47 PM,29/Aug/18 3:07 PM,23/Aug/18 4:20 PM,29/Aug/18 3:07 PM,,Quick Order Legacy,,,4,,,,,,,,"_As a user, I need to be able to email my technical questions to support for resolution._

+Acceptance Criteria+:
* Customer service email address anywhere it can be found in QuickOrder to be ""geneticservices@transnetyx.com"" *instead of* ""customerservice@transnetyx.com. (see locations below)
* Any text on the sites that reads ""Customer Service"" needs to change to ""Genetic Services""
* -Update any reference to the old address in the web config file so that emails sent out are from the new address- (this will now be handle at the exchange server level, so the coding impact is a minimum and code level values will not need to be changed).

CS has already identified the following locations that need to be updated, though it's possible more exist:
http://quickorder.transnetyx.com/SignIn.aspx?ReturnUrl=%2fDefault.aspx
https://quickorder.transnetyx.com/
https://quickorder.transnetyx.com/Account.aspx
https://quickorder.transnetyx.com/StrainManage.aspx
https://quickorder.transnetyx.com/Probes.aspx
https://quickorder.transnetyx.com/SequencingRequests.aspx
https://quickorder.transnetyx.com/EmailPreferences.aspx
https://quickorder.transnetyx.com/StrainFromSIF.aspx (side panel)
https://quickorder.transnetyx.com/AssayDesignTimeline.aspx
https://quickorder.transnetyx.com/Order1.StrainSelection.aspx
https://quickorder.transnetyx.com/SupplyRequest.aspx
https://quickorder.transnetyx.com/OrderSampleDetails.aspx?SampleId=38869800 (change sample name)
https://quickorder.transnetyx.com/ResultsAvailabilitySchedule.aspx


h1. *Developer Notes*

Here are some places I *DID NOT* change customer service to genetic services, due to the fact that these are special emails that are sent to some of our large customers like Taconic and CNIO or are used as integration points. It is very possible that they may have email rules or programs set up to read these eamils from ""Transnetyx Customer Service"" or ""Customerservice@transnetyx.com"".

Here are the files that I did not change:

 - ordermanager\OrderManagerDB\dbo\Stored Procedures\Custom_CNIO_OrderConfirmationEmail.sql
 - ordermanager\OrderManagerDB\dbo\Stored Procedures\Custom_CNIO_OrderConfirmationEmail_Test.sql
 - ordermanager\OrderManagerDB\dbo\Stored Procedures\NetsuiteInvoiceProblemAccounts.sql
 - ordermanager\OrderManagerDB\dbo\Stored Procedures\ResultFileTransferFailures.sql
 - ordermanager\OrderManagerDB\dbo\Stored Procedures\TaconicStrainsRequiringNewTranslations.sql
 - ordermanager\OrderManagerDB\dbo\Stored Procedures\TaconicWellplatesShipped.sql

it also turns out we have been sending all order confirmation emails for CNIO with the ""From"" address as:
customerservices@transnetyx.com  (Notice this is Pluralized with an 's' at the end of customerservice *+s+* )

h2. *Code level Changes:*

per conversation with [~admin] we are not making coding level changes at this time. The only changes made are customer facing changes and UI level changes and email template changes. The ""customerservice@transnetyx.com"" email is hard code in many places in the ORMA code stack, and it is also tied to a user account which is retrieved from the database via the email and coding operations occur around this account. Because there is such a large impact on the actual code level changes and the ability to test most of these changes would be very hard, we are not making these change at this time. The customer will see ""geneticservices@transnetyx.com"" and anything referring to customer service will only be happening in code out of the customers knowledge. Any emails sent programmatically that have customer service as the sender email will be automatically changed at the exchange server level.


h1. +*Application Files that need to be changed:*+

These are file on the server that have ""customerservice@transnetyx.com"" or ""customer service"" in the file. These are the direct path links to the files. They are all PDF files.

h3. +Media Share\Applications\Transnetyx\Files:+
* How to reference Transnetyx for a Journal Article.pdf

h3. +Media Share\Applications\QuickOrder\Files:+
* InstructionCard-Embryo.pdf
* InstructionCard-LiquidDNA.pdf
* InstructionCard-Sequencing.pdf
* InstructionCard-Tissue.pdf
* interpretResults.pdf
* RawDataInterpretation.pdf
* WebEnabledRawData.pdf



",,choward,katie mcaleavey,;26/Jul/18 11:59 AM;rjonakin;86400,;29/Aug/18 3:07 PM;jadhikari;7200,,,,,,,,0,93600,,,0,93600,,,,,,,,,,COMA-2668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,jadhikari,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2018-08-06T13:31:01.891-0500"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,,,,,,,None,,,jadhikari,,,Unassigned,,bwinter,0|i00y5r:,,,,,,,New Product/Feature,,YX Connect,2018-07-23 16:32:12.058,"23/Jul/18 11:32 AM;rjonakin;[~jmedlock]
[~jcox]

Refer to the ""Developer Notes"" section I added to the description above. Let me know what you think. I can change them, but I spoke with John about the Taconic specific stuff and he said we should probably leave it unchanged for now, so I figured the other few instances I included above should probably remained unchanged until we investigate further... All other customer facing instances have been changed though.",23/Jul/18 12:01 PM;choward;Makes sense. Thanks for letting us know. Is CNIO taken care of now? [~rjonakin],"31/Jul/18 4:44 PM;rjonakin;[~choward]
Yes the CNIO stuff is good now.","31/Jul/18 4:53 PM;rjonakin;[~jmedlock]
[~jcox]

Check out the last section I added in the description that says:
*Application Files that need to be changed*

It list all the files on the Media Share on the server that have ""customerservice@transnetyx.com"" in them and that will need to be updated, or ignored. Whatever the person in charge of this change thinks is best.","31/Jul/18 5:17 PM;jmedlock;Russell, I think Jeanie was supposed to be changing the files and giving them back to us for upload. Can you or Jeff check in on that?

Thanks,
Jim

Get Outlook for Android<https://aka.ms/ghei36>

",23/Aug/18 4:12 PM;kmcaleavey;[~jcox] [~rjonakin] Do you all need anything else from us?,"23/Aug/18 4:20 PM;jcox;[~kmcaleavey], I think we're good. The PDFs have been updated and the development changes are under review now.

CC [~rjonakin]",,,,,,,,,,,,,,,,,,,
Background Test Setup View,QO-47,29293,,Story,In Progress,QO,Quick Order,software,jmedlock,,,3 Standard,,admin,jcox,jcox,06/Jun/18 9:46 AM,31/Aug/18 2:16 PM,27/Aug/18 10:59 AM,,,Background Testing Phase 1,,,0,,,,,,,,"_As a user, I need to be able to configure my Background Test order._

+Acceptance Criteria+:
* User is able to select testing scope (Background or Speed Congenics)
* User is able to Finalize their Order
* Order is sent to LIMS
* User receives confirmation email with order set to In-Progress
",,,,;24/Aug/18 3:56 PM;admin;144000,;24/Aug/18 3:56 PM;admin;60,,,,,,,288000,144000,144060,50%,288000,144000,144060,,,,,,,,,,,,,,,,,23/Jul/18 3:14 PM;admin;120 SNPs B6 129 Mb Ensembl 7-11-18 Final FB.xlsx;https://transnetyx.atlassian.net/secure/attachment/27211/120+SNPs+B6+129+Mb+Ensembl+7-11-18+Final+FB.xlsx,10/Aug/18 3:46 PM;admin;Black6-20panel.sql;https://transnetyx.atlassian.net/secure/attachment/27337/Black6-20panel.sql,10/Aug/18 3:14 PM;admin;Black6120Panel.sql;https://transnetyx.atlassian.net/secure/attachment/27336/Black6120Panel.sql,05/Jul/18 11:03 AM;jmedlock;Genetic monitoring - background testing order 3.jpg;https://transnetyx.atlassian.net/secure/attachment/27086/Genetic+monitoring+-+background+testing+order+3.jpg,05/Jul/18 11:03 AM;jmedlock;Speed congenic order 3.jpg;https://transnetyx.atlassian.net/secure/attachment/27087/Speed+congenic+order+3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,admin,"{repository={count=8, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":8,""lastUpdated"":""2018-08-10T15:56:40.000-0500"",""dataType"":""repository""},""byInstanceType"":{""bitbucket"":{""count"":8,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,QO-72,,,,,,,,,,,None,,,,,,Unassigned,,bwinter,0|i00y2n:,,,,,,,New Product/Feature,,YX Connect,2018-06-13 14:55:45.183,"13/Jun/18 9:55 AM;tpatterson;Mockup clarifications:
* BTS.png
** User is presented with information in a hero block on the right hand side of the page
** User is also presented with a title, question, and two radio options
* BTS.OptionSelected.png
** Once an option is selected, the user is presented with a card block that contains required fields and an action button.","25/Jul/18 5:11 PM;tpatterson;+Info box text+
Header:
Important information

Genetic monitoring description:
In order to choose the right panel of markers we must know the background of your strain. Outbred strains and fully mixed backgrounds are not suggested for this type of testing.

This test is best used to monitor pure inbred strains and to detect contamination in breeding lines. It can also be used to check the veracity of a newly obtained strains background.

Speed congenics description:
Sex chromosomes must be fixed before testing strats. The best method to fix the Y chromosome is to cross female carriers to wildtype males of the recipient strain to produce F1. The X chromosome is then fixed by mating F1 carrier males to wildtype females of the recipient strain. The offspring of this cross and all subsequent back crosses should then be tested to select the most suitable males for the next back cross.","10/Aug/18 3:14 PM;admin;Adding post deploy data seed script for MVP panels
",,,,,,,,,,,,,,,,,,,,,,,
Initiate Background Testing Order from Results Page,QO-46,29292,,Story,Peer Review,QO,Quick Order,software,jmedlock,,,3 Standard,,rjonakin,jcox,jcox,06/Jun/18 9:44 AM,22/Aug/18 10:47 AM,04/Sep/18 11:00 AM,,,Background Testing Phase 1,,,0,,,,,,,,"_As a user, I need to be able to start a Background Testing order from the Results page._

+Acceptance Criteria+:
* User is able to start Background Testing order while on the results page.
* User is able to select multiple samples with a check box
",,,,;17/Jul/18 9:27 AM;admin;60,;22/Aug/18 10:47 AM;admin;28800,,,,,,,,0,28860,,,0,28860,,,,,,,,,,,,,,,,,11/Jul/18 4:09 PM;tpatterson;List (No selections) 2.jpg;https://transnetyx.atlassian.net/secure/attachment/27127/List+%28No+selections%29+2.jpg,11/Jul/18 4:09 PM;tpatterson;List (Selections) - Help Modal 2.jpg;https://transnetyx.atlassian.net/secure/attachment/27126/List+%28Selections%29+-+Help+Modal+2.jpg,09/Jul/18 10:25 AM;jmedlock;List (Selections) - Help Modal.jpg;https://transnetyx.atlassian.net/secure/attachment/27101/List+%28Selections%29+-+Help+Modal.jpg,11/Jul/18 4:09 PM;tpatterson;List (Selections) 2.jpg;https://transnetyx.atlassian.net/secure/attachment/27125/List+%28Selections%29+2.jpg,09/Jul/18 10:24 AM;jmedlock;List (Selections).jpg;https://transnetyx.atlassian.net/secure/attachment/27100/List+%28Selections%29.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,,"{repository={count=1, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":1,""lastUpdated"":""2018-07-25T17:49:30.000-0500"",""dataType"":""repository""},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,,,,,,,None,,,rjonakin,,,Unassigned,,bwinter,0|i00y2f:,,,,,,,New Product/Feature,,YX Connect,2018-06-11 14:08:28.649,"11/Jun/18 9:08 AM;jmedlock;[~admin] [~jcox] Bob mentioned in the last meeting that users ordering BG tests would want to select all with a check box instead of his original button idea.

This changes this ticket and the next stage ticket ""selecting what tests to run."" Let's chat this week.

Thanks,
Jim","13/Jun/18 9:48 AM;tpatterson;Mockup clarifications:
* BT.JI1
** User can select individual rows or the entire wellplate via checkboxes
** Test button is disabled until a selection is made
** Once a sample is selected, the test button (primary), becomes active
* BT.JI2
** User can select individual rows or the entire wellplate via checkboxes
** Once a sample is selected the test option is available in the action items button / dropdown
* BT.CI.jpg
** User can select individual rows or the entire wellplate via buttons contained within a column on the far right side of the table
** The button should be primary and ""T"" is a placeholder for a Font Awesome icon
*** I'd recommend using [the vial icon|https://fontawesome.com/icons/vial?style=solid].
","11/Jul/18 4:09 PM;tpatterson;[~jmedlock], I've attached new mockups with edits that [~nnowak] requested.","25/Jul/18 5:08 PM;tpatterson;+Modal text+
Header:
Need help deciding which test to run?

Sub-header 1:
Genetic Monitoring / Background Testing

Description 1:
Use this service to confirm and monitor the genetic quality of your inbred colonies. It can be used to confirm the strain or substrain background of your mice. The panels can be used to distinguish between strain such as C57BL/6 and 129 or between substrains of C57BL/6 such as BL/6J and BL/6N.

Sub-header 2:
Speed Congenics / Marker Assisted Breeding 

Description 2:
Use this service to reduce the time it takes to move from one inbred strain background to another. This testing can reduce this time by up to 50% over traditional backcrossing.",,,,,,,,,,,,,,,,,,,,,,
Update Accounting Contact Email Address,QO-45,29289,,Story,Production,QO,Quick Order,software,jmedlock,,,2 Important,Done,,jcox,jcox,05/Jun/18 3:08 PM,02/Aug/18 11:46 AM,04/Sep/18 11:00 AM,02/Aug/18 11:46 AM,,Quick Order Legacy,,,0,,,,,,,,"_As a user, I need to be able to email my billing questions to support for resolution._

+Acceptance Criteria+:
* Email address in QuickOrder Contact section is changed to billingsupport@transnetyx.com (instead of accounting@transnetyx.com)
",,,,;15/Jun/18 7:31 AM;jadhikari;7200,;02/Jul/18 9:37 AM;jadhikari;7200,,,,,,,,0,14400,,,0,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,jadhikari,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2018-07-02T09:38:55.582-0500"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,,,,,,,None,,,rjonakin,,,Unassigned,,bwinter,0|i00y1r:,,,,,,,New Product/Feature,,YX Connect,2018-06-06 07:43:38.768,06/Jun/18 2:43 AM;jadhikari;[~jcox] : Is this change only for the dashboard page in quickorder  ? There might be other places in the app where we are probably using the accounting@transnetyx.com. ,06/Jun/18 6:44 AM;jadhikari;[~jcox] I updated the email address while I was there to update the private policy announcement for now.,"06/Jun/18 8:35 AM;jcox;[~jadhikari], thank you!  It may be worth doing a find-in-files search across the site to see if any other instances of the old email address exist, but this was the only location mentioned to me by Suzanne.","12/Jul/18 10:27 AM;jadhikari;[~jcox] : Can we find out more on this ticket from Suzanne, [~rjonakin] is working on updating the Customer Service email address as another ticket. If needed both these can be updated together.",12/Jul/18 10:28 AM;jcox;[~jadhikari] Sure- did you have specific questions?,,,,,,,,,,,,,,,,,,,,,
Add Announcement for GDPR Terms/Policy update,QO-40,29254,,Story,Production,QO,Quick Order,software,jmedlock,,,3 Standard,Done,,jcox,jcox,25/May/18 1:13 PM,02/Aug/18 11:46 AM,04/Sep/18 11:00 AM,02/Aug/18 11:46 AM,,Quick Order Legacy,,,0,,,,,,,,"We need to add a message to the Announcements section of the site to remind users of our updated terms based on GDPR changes.  The ""Learn More"" link will need to send the user to our documentation at http://transnetyx.com/privacy-policy.


Text to use:
Transnetyx has updated our Privacy Policy Statement to inform you of our commitment to privacy and to describe our updated policies for the collection, use, and disclosure of personal information that may be collected by Transnetyx when you visit our websites. Learn More",,,,;15/Jun/18 7:31 AM;jadhikari;14400,;02/Jul/18 9:36 AM;jadhikari;10800,,,,,,,,0,25200,,,0,25200,,,,,,,,,,,,,,,,,06/Jun/18 9:09 AM;jadhikari;PP.PNG;https://transnetyx.atlassian.net/secure/attachment/26961/PP.PNG,06/Jun/18 9:04 AM;jknight;Screen Shot 2018-06-06 at 9.03.00 AM.png;https://transnetyx.atlassian.net/secure/attachment/26960/Screen+Shot+2018-06-06+at+9.03.00+AM.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,jadhikari,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2018-07-02T09:39:17.326-0500"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,,,,,,,None,,,rjonakin,,,Unassigned,,bwinter,0|i00xtz:,,,,,,,New Product/Feature,,YX Connect,2018-05-25 18:57:05.188,"25/May/18 1:57 PM;jknight;Transnetyx has updated our Privacy Policy Statement to inform you of our commitment to privacy and to describe our updated policies for the collection, use, and disclosure of personal information that may be collected by Transnetyx when you visit our websites. Learn More",04/Jun/18 6:16 PM;jadhikari;[~jcox] / [~jknight] : Does this information need to go into the site immediately or it can go as part of deployment ?,"05/Jun/18 9:08 AM;jcox;[~jadhikari], I just spoke with [~jknight] and Todd and they asked for the announcement to be added as soon as possible.",06/Jun/18 6:45 AM;jadhikari;[~jknight] The announcement is updated in QuickOrder Dashboard page. Please verify.,06/Jun/18 9:04 AM;jknight;Hey [~jadhikari] I just went to QuickOrder to check and it is not showing up for me.  !Screen Shot 2018-06-06 at 9.03.00 AM.png|thumbnail! ,06/Jun/18 9:10 AM;jadhikari;[~jknight] Did you try clicking the accordion header?,"06/Jun/18 9:51 AM;jknight;Ahh. Did not realize that expanded. It is in there. Thanks!
",,,,,,,,,,,,,,,,,,,
Update Raw Data Protocol Documentation,QO-39,29239,,Story,Production,QO,Quick Order,software,jmedlock,,,3 Standard,Done,,jcox,jcox,22/May/18 1:01 PM,25/May/18 1:01 PM,04/Sep/18 11:00 AM,25/May/18 1:01 PM,,Quick Order Legacy,,,0,,,,,,,,The current Raw Data Protocol documentation online needs to be replaced with the attached updated version.  This document is hosted on the customer's order details page under the Raw Data tab.,,,,;25/May/18 11:46 AM;rjonakin;600,,,,,,,,,0,600,,,0,600,,,,,,,,,,,,,,,,,22/May/18 1:02 PM;jcox;RawDataInterpretation.pdf;https://transnetyx.atlassian.net/secure/attachment/26894/RawDataInterpretation.pdf,25/May/18 11:45 AM;rjonakin;RawDataInterpretation_OLD_VERSION.pdf;https://transnetyx.atlassian.net/secure/attachment/26906/RawDataInterpretation_OLD_VERSION.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jcox,rjonakin,{},,,,,,,,,,,,,,None,,,jcox,,,Unassigned,,bwinter,0|i00xqn:,,,,,,,New Product/Feature,,YX Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,
